location_name,latitude,longitude,day_of_year,month,sin_doy,cos_doy,solar_irradiance,temperature_avg,humidity,wind_speed,pressure,cloud_cover,precipitation,capacity_kw,panel_area,tilt_angle,orientation,energy_generated_kwh,energy_per_kw
Mumbai,19.076,72.877,44,2,0.687,0.727,413.07,35.09,49.5,4.3,1016.6,76.2,0.0,3,16.0,15,172,0.1,0.033
Mumbai,19.076,72.877,238,8,-0.817,-0.577,604.73,16.7,54.7,4.1,1017.0,15.9,0.0,25,146.4,41,183,0.373,0.015
Mumbai,19.076,72.877,327,11,-0.608,0.794,260.82,22.49,79.3,3.1,1004.3,73.3,0.0,3,18.5,18,208,0.1,0.033
Mumbai,19.076,72.877,333,12,-0.523,0.852,248.09,18.96,55.9,6.8,1012.9,77.4,0.0,2,11.2,18,167,0.1,0.05
Mumbai,19.076,72.877,248,9,-0.903,-0.429,572.55,13.92,54.0,7.3,1015.3,16.4,8.18,5,32.7,33,169,0.1,0.02
Mumbai,19.076,72.877,91,4,1.0,0.004,690.36,38.44,64.5,5.7,1001.9,56.3,0.0,50,273.1,41,154,1.393,0.028
Mumbai,19.076,72.877,325,11,-0.635,0.772,236.94,15.23,46.0,7.9,1010.8,79.5,0.0,2,11.7,35,178,0.1,0.05
Mumbai,19.076,72.877,61,3,0.867,0.498,850.7,29.06,67.3,4.9,1016.9,21.2,4.24,3,16.4,29,176,0.1,0.033
Mumbai,19.076,72.877,290,10,-0.961,0.276,512.87,17.82,50.3,2.8,1020.8,9.2,0.0,2,12.0,43,170,0.1,0.05
Mumbai,19.076,72.877,62,3,0.876,0.483,826.09,33.23,42.6,6.7,1008.5,25.5,0.0,1,6.0,22,150,0.1,0.1
Mumbai,19.076,72.877,283,10,-0.987,0.159,340.99,14.49,70.8,2.0,1020.6,55.7,2.45,15,80.3,29,197,0.1,0.007
Mumbai,19.076,72.877,166,6,0.28,-0.96,613.14,29.71,67.8,5.0,1016.1,54.3,0.0,25,140.9,45,197,0.34,0.014
Mumbai,19.076,72.877,363,13,-0.034,0.999,300.91,19.65,42.8,3.4,1005.4,73.4,0.0,25,142.8,28,150,0.193,0.008
Mumbai,19.076,72.877,223,8,-0.642,-0.767,713.26,18.56,60.1,8.0,1011.5,4.6,0.0,3,17.4,37,169,0.1,0.033
Mumbai,19.076,72.877,290,10,-0.961,0.276,485.86,12.53,59.3,7.7,1009.0,16.3,0.0,10,55.4,34,161,0.1,0.01
Mumbai,19.076,72.877,180,6,0.043,-0.999,668.31,29.47,65.7,4.0,1015.1,39.6,0.0,50,278.7,41,208,1.343,0.027
Mumbai,19.076,72.877,152,6,0.501,-0.865,479.79,31.69,77.7,2.1,1008.9,77.7,0.0,3,17.8,42,182,0.1,0.033
