,sin_doy,cos_doy,solar_irradiance,temperature_avg,humidity,wind_speed,pressure,cloud_cover,precipitation,solar_zenith_angle,clear_sky_index,air_mass,capacity_kw,tilt_angle,orientation
0,-0.49584338,-0.92861694,22.460672,13.614597,14.907929,8.383181,1008.61115,61.48566,68.81413,12.362644,0.3492014,9.438614,14.100719,37.188187,196.3265
1,0.60006666,-0.5943634,273.037,24.199675,85.375465,9.583882,988.7906,53.603535,12.034381,10.968057,0.254195,5.499125,44.66337,22.236324,151.65472
2,-0.993623,0.9643749,568.5562,16.692682,56.106304,19.550468,1029.1099,91.50478,69.57573,43.11758,0.43686742,6.603057,48.174187,11.049135,194.40062
3,-0.013921719,-0.33274508,163.09523,19.804932,17.589764,8.372321,970,62.522545,20.42407,47.59056,0.62380445,3.7821047,45.47191,41.92394,240
4,0.9539572,-0.14512527,521.0111,27.042591,66.15805,7.675002,999.8644,60,31.191217,10.936695,0.68505836,11.580857,38.794376,45,240
5,-0.16700561,0.90783614,788.0318,42,33.691853,17.277718,1020.854,60,29.892231,32.073128,0.6349358,2.8309627,29.969896,13.603257,120
6,-0.81573844,-0.93964434,218.53638,42,94.68879,17.845913,970,60,15.993407,26.937141,1.0315677,9.307914,27.304409,24.151316,120
7,0.8516617,0.42862323,500,20.898643,70.926414,3.2140257,979.4052,61.064075,93.02596,73.98736,0.0007418032,3.1482863,32.004898,45,120
8,-0.08991396,-0.84790045,300,42,18.569548,12.676479,976.8423,96.49266,97.09632,51.080353,0.33748478,6.361329,28.701302,0.6752065,120
9,-0.9445125,0.26706356,145.48569,42,59.734528,8.477983,1000.9319,77.69562,92.78441,89.81117,0.6158396,2.7696087,25.43444,38.157913,120
10,0.28605944,-0.52505773,553.242,13.892371,43.466476,1.0944995,1033.4336,60,32.893127,41.167725,0.57223564,3.3397038,40.04349,28.322088,240
11,0.9892493,-0.8239919,672.3183,10,16.614504,19.951502,970,60,6.711141,0.6172342,0.76032895,11.980656,2.1466887,45,240
12,-0.90495276,0.9196142,604.95105,22.897661,92.15138,4.7653446,1030.5117,60,34.00502,83.750084,0.16695288,2.6537302,25.60425,19.688978,240
13,0.3293719,-0.9999566,500,42,98.07458,6.634323,970,64.47828,39.312477,55.893024,0.724531,7.8456893,34.474007,45,134.96759
14,0.8417492,-0.5546589,300,10,55.044155,10.145422,1035,97.87049,29.774832,64.40428,0.5485778,3.6001656,35.975437,45,131.8874
15,-0.47200504,-0.9999748,553.2324,42,56.91697,23.783766,993.99,60,32.73615,61.292908,0.31893158,5.383127,25.231329,35.92204,220.60707
16,-0.9252228,-0.98723066,406.36667,15.464111,10.856425,15.956141,993.61945,72.75877,19.307781,38.20244,0.49775425,8.715117,33.543427,19.656929,120
